priority,sourceUrl,suggestedLocalPath,currentSourceFile,affectedRulesCount,exampleRules,classification,nextAction
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/artificer-article","data\HTML BONFIRE\classes\Artificer in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\classes\Artificer in Bonfire Tales RPG _ World Anvil.html","36","Artificer | blight | cloudkill | healing word | acid arrow","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/clerigo-article","data\HTML BONFIRE\classes\Clérigo in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\classes\Clérigo in Bonfire Tales RPG _ World Anvil.html","12","Clérigo | Cessa a condição Amedrontado | Característica de Domínio Divino | Cessa a condição Amedrontado | Clérigo","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/druida-article","data\HTML BONFIRE\classes\Druida in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\classes\Druida in Bonfire Tales RPG _ World Anvil.html","12","Druida | Ficha - Familiar Primal | Armaduras | Armas | Atributo Primário","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/bardo-article","data\HTML BONFIRE\classes\Bardo in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\classes\Bardo in Bonfire Tales RPG _ World Anvil.html","9","Armaduras | Armas | Atributo Primário | Bardo | Característica de Colégio","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/orcs-species","data\HTML BONFIRE\racas\Orcs Species in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\racas\Orcs Species in Bonfire Tales RPG _ World Anvil.html","9","Orcs | Estrutura Poderosa | Avatar da Destruição | Missões e Ranks | Orc Branco","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/mago-article","data\HTML BONFIRE\classes\Mago in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\classes\Mago in Bonfire Tales RPG _ World Anvil.html","8","Mago | Armaduras | Armas | Atributo Primário | Dado de Vida","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/monge-article","data\HTML BONFIRE\classes\Monge in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\classes\Monge in Bonfire Tales RPG _ World Anvil.html","8","Monge | Ativação | Armaduras | Atributo Primário | Dado de Vida","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/celestial-article","data\HTML BONFIRE\essencia\Celestial in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\essencia\Celestial in Bonfire Tales RPG _ World Anvil.html","7","Campeão | Corrompido | Evolução da Essência | Flagelado | Glória e Valor","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/elfo-species","data\HTML BONFIRE\racas\Elfo - Bonfire Tales RPG.html","data\HTML BONFIRE\racas\Elfo - Bonfire Tales RPG.html","7","Elfo | Aetherin | Lunareth | Missões e Ranks | Noctelar","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/mistico-article","data\HTML BONFIRE\classes\Místico in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\classes\Místico in Bonfire Tales RPG _ World Anvil.html","7","Místico | Aberração | Ações | Armas | Ferramentas","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/paladino-article","data\HTML BONFIRE\classes\Paladino in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\classes\Paladino in Bonfire Tales RPG _ World Anvil.html","7","Aprimoramento | Ferramentas | Paladino | Testes de Resistência | Aprimoramento","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/infernal-article","data\HTML BONFIRE\essencia\Infero - Bonfire Tales.html","data\HTML BONFIRE\essencia\Infero - Bonfire Tales.html","6","Decreto: Exílio Abrasador | Evolução da Essência | Infero Anão | Infero Elfo | Infero Humano","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/feiticeiro-article","data\HTML BONFIRE\classes\Feiticeiro in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\classes\Feiticeiro in Bonfire Tales RPG _ World Anvil.html","5","Armaduras | Feiticeiro | Metamagia Sempre Preparada: Feitiço Sutil | Metamagia Suprema | Testes de Resistência","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/humano-species","data\HTML BONFIRE\racas\Humano Species in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\racas\Humano Species in Bonfire Tales RPG _ World Anvil.html","5","Auge do Potencial | Durkarn | Erthari | Missões e Ranks | Sálarin","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/anao-species","data\HTML BONFIRE\racas\Anões.html","data\HTML BONFIRE\racas\Anões.html","3","Missões e Ranks | Montanha | Terremoto Ancestral","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/guerreiro-article","data\HTML BONFIRE\classes\Guerreiro in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\classes\Guerreiro in Bonfire Tales RPG _ World Anvil.html","3","Limite | Fundamentos de Batalha | Limite","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/cacador-article","data\HTML BONFIRE\classes\Caçador in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\classes\Caçador in Bonfire Tales RPG _ World Anvil.html","2","Caçador | Caçador","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/c/magias-category","data\HTML BONFIRE\ajustes\Lista de Magias e Modificações in Bonfire Tales RPG.html","data\HTML BONFIRE\ajustes\Lista de Magias e Modificações in Bonfire Tales RPG.html","2","Livros com Magias Liberadas | Missões e Ranks","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/barbaro-article","data\HTML BONFIRE\classes\Bárbaro in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\classes\Bárbaro in Bonfire Tales RPG _ World Anvil.html","1","Sucesso","source-present-needs-parser-fix","fix-parser"
"","https://www.worldanvil.com/w/bonfire-tales-rpg-bonfire-tales/a/bestial-article","data\HTML BONFIRE\essencia\Bestial in Bonfire Tales RPG _ World Anvil.html","data\HTML BONFIRE\essencia\Bestial in Bonfire Tales RPG _ World Anvil.html","1","Missões e Ranks","source-present-needs-parser-fix","fix-parser"
